ts_code,trade_time,open,close,high,low,vol,amount,oi,change1
OI2309.ZCE,2023-04-10 10:00:00,8568.0,8561.0,8581.0,8550.0,9902.0,848250690.0,151302.0,-9.0
OI2309.ZCE,2023-04-10 09:45:00,8590.0,8568.0,8593.0,8554.0,14857.0,1272974290.0,150363.0,7.0
OI2309.ZCE,2023-04-10 09:30:00,8607.0,8590.0,8625.0,8577.0,13596.0,1169550490.0,150551.0,22.0
OI2309.ZCE,2023-04-10 09:15:00,8647.0,8607.0,8649.0,8560.0,26742.0,2298851200.0,149879.0,17.0
OI2309.ZCE,2023-04-07 23:00:00,8645.0,8647.0,8656.0,8642.0,4888.0,422731940.0,149922.0,40.0
OI2309.ZCE,2023-04-07 22:45:00,8658.0,8646.0,8669.0,8645.0,5006.0,433361450.0,150230.0,-1.0
OI2309.ZCE,2023-04-07 22:30:00,8652.0,8659.0,8670.0,8651.0,5284.0,457656690.0,150486.0,13.0
OI2309.ZCE,2023-04-07 22:15:00,8651.0,8651.0,8658.0,8637.0,5509.0,476403760.0,150502.0,-8.0
OI2309.ZCE,2023-04-07 22:00:00,8648.0,8650.0,8660.0,8643.0,4773.0,412912690.0,150411.0,-1.0
OI2309.ZCE,2023-04-07 21:45:00,8656.0,8648.0,8662.0,8644.0,4621.0,399835110.0,149781.0,-2.0
OI2309.ZCE,2023-04-07 21:30:00,8661.0,8656.0,8661.0,8636.0,6902.0,596828680.0,149444.0,8.0
OI2309.ZCE,2023-04-07 21:15:00,8660.0,8661.0,8681.0,8645.0,11482.0,994810480.0,149420.0,5.0
