number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
107,V2309.DCE,20221110,5839.0,5838.0,5831.0,5855.0,5746.0,5765.0,5810.0,-73.0,-28.0,10605.0,30808.6,30050.0,2862.0,
108,V2309.DCE,20221109,5810.0,5810.0,5810.0,5865.0,5804.0,5839.0,5838.0,29.0,28.0,11146.0,32538.43,27188.0,3320.0,
109,V2309.DCE,20221108,5834.0,5839.0,5843.0,5860.0,5770.0,5810.0,5810.0,-29.0,-29.0,6607.0,19195.72,23868.0,400.0,
110,V2309.DCE,20221107,5900.0,5865.0,5924.0,5958.0,5760.0,5834.0,5839.0,-31.0,-26.0,10719.0,31299.0,23468.0,2026.0,
111,V2309.DCE,20221104,5837.0,5793.0,5801.0,5931.0,5801.0,5900.0,5865.0,107.0,72.0,8579.0,25162.18,21442.0,140.0,
112,V2309.DCE,20221103,5804.0,5768.0,5784.0,5846.0,5750.0,5837.0,5793.0,69.0,25.0,4925.0,14267.03,21302.0,643.0,
113,V2309.DCE,20221102,5760.0,5691.0,5755.0,5832.0,5720.0,5804.0,5768.0,113.0,77.0,6973.0,20112.52,20659.0,-331.0,
114,V2309.DCE,20221101,5612.0,5629.0,5601.0,5767.0,5581.0,5760.0,5691.0,131.0,62.0,8304.0,23632.46,20990.0,-104.0,
115,V2309.DCE,20221031,5664.0,5630.0,5659.0,5686.0,5580.0,5612.0,5629.0,-18.0,-1.0,10306.0,29008.44,21094.0,2903.0,
116,V2309.DCE,20221028,5686.0,5717.0,5717.0,5717.0,5577.0,5664.0,5630.0,-53.0,-87.0,8938.0,25160.92,18191.0,3401.0,
117,V2309.DCE,20221027,5697.0,5743.0,5736.0,5760.0,5680.0,5686.0,5717.0,-57.0,-26.0,5636.0,16111.05,14790.0,1523.0,
118,V2309.DCE,20221026,5761.0,5773.0,5759.0,5777.0,5695.0,5697.0,5743.0,-76.0,-30.0,4904.0,14082.97,13267.0,1969.0,
119,V2309.DCE,20221025,5815.0,5838.0,5821.0,5821.0,5738.0,5761.0,5773.0,-77.0,-65.0,3551.0,10250.49,11298.0,687.0,
120,V2309.DCE,20221024,5793.0,5815.0,5781.0,5888.0,5781.0,5815.0,5838.0,0.0,23.0,3575.0,10436.54,10611.0,-155.0,
121,V2309.DCE,20221021,5838.0,5836.0,5840.0,5856.0,5791.0,5793.0,5815.0,-43.0,-21.0,3434.0,9985.0,10766.0,900.0,
122,V2309.DCE,20221020,5852.0,5838.0,5855.0,5880.0,5820.0,5838.0,5836.0,0.0,-2.0,2741.0,7998.81,9866.0,195.0,
123,V2309.DCE,20221019,5835.0,5820.0,5830.0,5880.0,5805.0,5852.0,5838.0,32.0,18.0,3404.0,9937.93,9671.0,577.0,
124,V2309.DCE,20221018,5822.0,5875.0,5796.0,5856.0,5787.0,5835.0,5820.0,-40.0,-55.0,2585.0,7523.59,9094.0,531.0,
125,V2309.DCE,20221017,5950.0,5949.0,5940.0,5962.0,5808.0,5822.0,5875.0,-127.0,-74.0,4542.0,13343.08,8563.0,1644.0,
126,V2309.DCE,20221014,5962.0,6001.0,5946.0,5979.0,5921.0,5950.0,5949.0,-51.0,-52.0,3019.0,8981.28,6919.0,1085.0,
127,V2309.DCE,20221013,6066.0,6078.0,6078.0,6078.0,5960.0,5962.0,6001.0,-116.0,-77.0,2594.0,7784.27,5834.0,1143.0,
128,V2309.DCE,20221012,6108.0,6122.0,6100.0,6125.0,6014.0,6066.0,6078.0,-56.0,-44.0,2589.0,7868.11,4691.0,-80.0,
129,V2309.DCE,20221011,6133.0,6121.0,6140.0,6150.0,6085.0,6108.0,6122.0,-13.0,1.0,1743.0,5336.03,4771.0,335.0,
130,V2309.DCE,20221010,6083.0,6075.0,6150.0,6181.0,6060.0,6133.0,6121.0,58.0,46.0,1512.0,4627.69,4436.0,-138.0,
131,V2309.DCE,20220930,6065.0,6031.0,6080.0,6120.0,6043.0,6083.0,6075.0,52.0,44.0,795.0,2415.08,4574.0,-44.0,
132,V2309.DCE,20220929,6003.0,5997.0,6010.0,6094.0,5990.0,6065.0,6031.0,68.0,34.0,1361.0,4104.69,4618.0,-23.0,
133,V2309.DCE,20220928,5978.0,5960.0,5980.0,6040.0,5933.0,6003.0,5997.0,43.0,37.0,1242.0,3724.35,4641.0,-54.0,
134,V2309.DCE,20220927,6014.0,5985.0,6037.0,6037.0,5902.0,5978.0,5960.0,-7.0,-25.0,2170.0,6467.33,4695.0,807.0,
135,V2309.DCE,20220926,6020.0,6069.0,6015.0,6025.0,5916.0,6014.0,5985.0,-55.0,-84.0,1281.0,3833.76,3888.0,348.0,
136,V2309.DCE,20220923,6105.0,6048.0,6111.0,6135.0,6009.0,6020.0,6069.0,-28.0,21.0,1095.0,3323.16,3540.0,354.0,
137,V2309.DCE,20220922,6015.0,6013.0,6010.0,6128.0,5965.0,6105.0,6048.0,92.0,35.0,1435.0,4340.11,3186.0,-14.0,
138,V2309.DCE,20220921,6069.0,6087.0,6075.0,6075.0,5979.0,6015.0,6013.0,-72.0,-74.0,1651.0,4964.07,3200.0,1097.0,
139,V2309.DCE,20220920,6092.0,6138.0,6092.0,6130.0,6058.0,6069.0,6087.0,-69.0,-51.0,930.0,2830.72,2103.0,358.0,
140,V2309.DCE,20220919,6181.0,6176.0,6178.0,6217.0,6088.0,6092.0,6138.0,-84.0,-38.0,1874.0,5752.17,1745.0,1256.0,
141,V2309.DCE,20220916,,6253.0,6220.0,6223.0,6145.0,6181.0,6176.0,-72.0,-77.0,768.0,2371.66,489.0,,
