number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
68,AG2306.SHF,20230105,5373.0,5390.0,5364.0,5409.0,5231.0,5233.0,5328.0,-157.0,-62.0,396645.0,3170073.73,409023.0,4359.0,
69,AG2306.SHF,20230104,5426.0,5392.0,5405.0,5444.0,5343.0,5373.0,5390.0,-19.0,-2.0,262768.0,2124531.04,404664.0,942.0,
70,AG2306.SHF,20230103,5397.0,5383.0,5397.0,5440.0,5340.0,5426.0,5392.0,43.0,9.0,201111.0,1626669.61,403722.0,11036.0,
71,AG2306.SHF,20221230,5319.0,5331.0,5345.0,5409.0,5345.0,5397.0,5383.0,66.0,52.0,220041.0,1776914.98,392686.0,5725.0,
72,AG2306.SHF,20221229,5388.0,5396.0,5374.0,5388.0,5285.0,5319.0,5331.0,-77.0,-65.0,238365.0,1906414.83,386961.0,-4333.0,
73,AG2306.SHF,20221228,5419.0,5378.0,5409.0,5432.0,5360.0,5388.0,5396.0,10.0,18.0,226631.0,1834577.96,391294.0,6338.0,
74,AG2306.SHF,20221227,5353.0,5340.0,5354.0,5435.0,5338.0,5419.0,5378.0,79.0,38.0,170048.0,1371788.03,384956.0,17607.0,
75,AG2306.SHF,20221226,5319.0,5311.0,5326.0,5370.0,5310.0,5353.0,5340.0,42.0,29.0,184900.0,1481146.29,367349.0,1409.0,
76,AG2306.SHF,20221223,5345.0,5398.0,5350.0,5371.0,5265.0,5319.0,5311.0,-79.0,-87.0,218990.0,1744903.18,365940.0,320.0,
77,AG2306.SHF,20221222,5395.0,5381.0,5399.0,5434.0,5333.0,5345.0,5398.0,-36.0,17.0,211498.0,1712637.12,365620.0,1183.0,
78,AG2306.SHF,20221221,5247.0,5240.0,5334.0,5459.0,5308.0,5395.0,5381.0,155.0,141.0,300986.0,2429695.12,364437.0,14887.0,
79,AG2306.SHF,20221220,5248.0,5249.0,5248.0,5281.0,5195.0,5247.0,5240.0,-2.0,-9.0,222780.0,1751084.47,349550.0,8624.0,
80,AG2306.SHF,20221219,5230.0,5261.0,5226.0,5297.0,5195.0,5248.0,5249.0,-13.0,-12.0,247937.0,1952144.22,340926.0,6488.0,
81,AG2306.SHF,20221216,5309.0,5362.0,5290.0,5327.0,5185.0,5230.0,5261.0,-132.0,-101.0,339418.0,2679014.93,334438.0,-18179.0,
82,AG2306.SHF,20221215,5432.0,5411.0,5400.0,5455.0,5272.0,5309.0,5362.0,-102.0,-49.0,280012.0,2252388.38,352617.0,-18301.0,
83,AG2306.SHF,20221214,5346.0,5323.0,5335.0,5465.0,5331.0,5432.0,5411.0,109.0,88.0,336338.0,2730284.38,370918.0,8987.0,
84,AG2306.SHF,20221213,5327.0,5309.0,5328.0,5363.0,5271.0,5346.0,5323.0,37.0,14.0,204757.0,1634917.03,361931.0,5044.0,
